Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
7,0,3,2.2500000000e+02,2.2500000000e+02,2.2463799126e+02,2.2518986891e+02,0.0000000000e+00,1.2088283420e+00
3,1,1,2.2463799126e+02,2.2518986891e+02,2.2401417600e+02,2.2517339115e+02,1.2088283420e+00,1.9495480703e+00
1,0,5,2.2401417600e+02,2.2517339115e+02,2.2442670975e+02,2.2506595493e+02,1.9495480703e+00,7.1966171097e-01
5,1,7,2.2442670975e+02,2.2506595493e+02,2.2490809236e+02,2.2475892810e+02,7.1966171097e-01,-1.8070971030e-02
7,1,5,2.2490809236e+02,2.2475892810e+02,2.2442593347e+02,2.2506592961e+02,-1.8070971030e-02,7.1950865717e-01
5,2,4,2.2442593347e+02,2.2506592961e+02,2.2415589868e+02,2.2527788236e+02,7.1950865717e-01,9.8698461836e-01
4,0,0,2.2415589868e+02,2.2527788236e+02,2.2379059136e+02,2.2546051755e+02,9.8698461836e-01,2.1957858771e+00
0,2,1,2.2379059136e+02,2.2546051755e+02,2.2411706575e+02,2.2533167335e+02,2.1957858771e+00,1.9159308275e+00
1,0,5,2.2411706575e+02,2.2533167335e+02,2.2452575539e+02,2.2521043219e+02,1.9159308275e+00,6.8604446820e-01
5,0,1,2.2452575539e+02,2.2521043219e+02,2.2411785516e+02,2.2533165709e+02,6.8604446820e-01,1.9158280060e+00
1,0,5,2.2411785516e+02,2.2533165709e+02,2.2452653233e+02,2.2521037391e+02,1.9158280060e+00,6.8594164670e-01
5,2,4,2.2452653233e+02,2.2521037391e+02,2.2426376295e+02,2.2543126982e+02,6.8594164670e-01,9.5341760789e-01
4,1,6,2.2426376295e+02,2.2543126982e+02,2.2459791243e+02,2.2490405214e+02,9.5341760789e-01,2.1257520439e-01
6,2,7,2.2459791243e+02,2.2490405214e+02,2.2487987260e+02,2.2469440760e+02,2.1257520439e-01,-6.7306818560e-02
7,2,6,2.2487987260e+02,2.2469440760e+02,2.2459804347e+02,2.2490341514e+02,-6.7306818560e-02,2.1252421056e-01
6,0,2,2.2459804347e+02,2.2490341514e+02,2.2427897605e+02,2.2518603897e+02,2.1252421056e-01,1.4423658514e+00
2,1,0,2.2427897605e+02,2.2518603897e+02,2.2375555596e+02,2.2541445380e+02,1.4423658514e+00,2.1799697570e+00
0,1,2,2.2375555596e+02,2.2541445380e+02,2.2427926736e+02,2.2518468822e+02,2.1799697570e+00,1.4423078380e+00
2,1,0,2.2427926736e+02,2.2518468822e+02,2.2375586052e+02,2.2541313341e+02,1.4423078380e+00,2.1799117437e+00
0,1,2,2.2375586052e+02,2.2541313341e+02,2.2427955858e+02,2.2518333745e+02,2.1799117437e+00,1.4422498247e+00
2,0,6,2.2427955858e+02,2.2518333745e+02,2.2459866664e+02,2.2490123782e+02,1.4422498247e+00,2.1251199388e-01
6,1,4,2.2459866664e+02,2.2490123782e+02,2.2426395420e+02,2.2542855258e+02,2.1251199388e-01,9.5329862643e-01
4,0,0,2.2426395420e+02,2.2542855258e+02,2.2390500520e+02,2.2562338756e+02,9.5329862643e-01,2.1620998851e+00
0,0,4,2.2390500520e+02,2.2562338756e+02,2.2426467662e+02,2.2542836223e+02,2.1620998851e+00,9.5333814673e-01
4,1,6,2.2426467662e+02,2.2542836223e+02,2.2459878421e+02,2.2490111800e+02,9.5333814673e-01,2.1249574323e-01
6,2,7,2.2459878421e+02,2.2490111800e+02,2.2488072772e+02,2.2469145105e+02,2.1249574323e-01,-6.7386279720e-02
7,0,3,2.2488072772e+02,2.2469145105e+02,2.2453232547e+02,2.2490526499e+02,-6.7386279720e-02,1.1414420623e+00
3,2,2,2.2453232547e+02,2.2490526499e+02,2.2420927345e+02,2.2502192497e+02,1.1414420623e+00,1.4088404960e+00
2,0,6,2.2420927345e+02,2.2502192497e+02,2.2451878043e+02,2.2472932357e+02,1.4088404960e+00,1.7910266523e-01
6,1,4,2.2451878043e+02,2.2472932357e+02,2.2420186873e+02,2.2526752450e+02,1.7910266523e-01,9.1988929778e-01
4,1,6,2.2420186873e+02,2.2526752450e+02,2.2451815701e+02,2.2472940176e+02,9.1988929778e-01,1.7904689428e-01
6,2,7,2.2451815701e+02,2.2472940176e+02,2.2479293100e+02,2.2451042316e+02,1.7904689428e-01,-1.0083512867e-01
7,0,3,2.2479293100e+02,2.2451042316e+02,2.2445187413e+02,2.2473576899e+02,-1.0083512867e-01,1.1079932133e+00
3,1,1,2.2445187413e+02,2.2473576899e+02,2.2382956885e+02,2.2478217088e+02,1.1079932133e+00,1.8487129416e+00
1,1,3,2.2382956885e+02,2.2478217088e+02,2.2445190661e+02,2.2473546624e+02,1.8487129416e+00,1.1080797188e+00
3,1,1,2.2445190661e+02,2.2473546624e+02,2.2382959732e+02,2.2478181430e+02,1.1080797188e+00,1.8487994470e+00
1,0,5,2.2382959732e+02,2.2478181430e+02,2.2422923342e+02,2.2463343094e+02,1.8487994470e+00,6.1891308773e-01
5,2,4,2.2422923342e+02,2.2463343094e+02,2.2398184936e+02,2.2487143068e+02,6.1891308773e-01,8.8638904892e-01
4,0,0,2.2398184936e+02,2.2487143068e+02,2.2363673015e+02,2.2508982891e+02,8.8638904892e-01,2.0951903076e+00
0,2,1,2.2363673015e+02,2.2508982891e+02,2.2394861476e+02,2.2492884957e+02,2.0951903076e+00,1.8153352581e+00
1,2,0,2.2394861476e+02,2.2492884957e+02,2.2363595680e+02,2.2508975120e+02,1.8153352581e+00,2.0953414298e+00
0,0,4,2.2363595680e+02,2.2508975120e+02,2.2398181712e+02,2.2487116701e+02,2.0953414298e+00,8.8657969139e-01
4,2,5,2.2398181712e+02,2.2487116701e+02,2.2422902535e+02,2.2463279302e+02,8.8657969139e-01,6.1920042251e-01
5,0,1,2.2422902535e+02,2.2463279302e+02,2.2383013319e+02,2.2478099260e+02,6.1920042251e-01,1.8489839603e+00
1,0,5,2.2383013319e+02,2.2478099260e+02,2.2422979667e+02,2.2463268297e+02,1.8489839603e+00,6.1909760101e-01
5,0,1,2.2422979667e+02,2.2463268297e+02,2.2383091975e+02,2.2478092357e+02,6.1909760101e-01,1.8488811388e+00
1,1,3,2.2383091975e+02,2.2478092357e+02,2.2445326536e+02,2.2473432360e+02,1.8488811388e+00,1.1082479160e+00
3,1,1,2.2445326536e+02,2.2473432360e+02,2.2383094828e+02,2.2478056700e+02,1.1082479160e+00,1.8489676442e+00
1,2,0,2.2383094828e+02,2.2478056700e+02,2.2351305665e+02,2.2493086419e+02,1.8489676442e+00,2.1289738160e+00
0,0,4,2.2351305665e+02,2.2493086419e+02,2.2386607150e+02,2.2472403352e+02,2.1289738160e+00,9.2021207757e-01
4,0,0,2.2386607150e+02,2.2472403352e+02,2.2351376420e+02,2.2493063609e+02,9.2021207757e-01,2.1290133363e+00
0,1,2,2.2351376420e+02,2.2493063609e+02,2.2402509285e+02,2.2467449383e+02,2.1290133363e+00,1.3913514173e+00
2,0,6,2.2402509285e+02,2.2467449383e+02,2.2432943543e+02,2.2437652446e+02,1.3913514173e+00,1.6161358649e-01
6,1,4,2.2432943543e+02,2.2437652446e+02,2.2402198435e+02,2.2492018529e+02,1.6161358649e-01,9.0240021904e-01
4,2,5,2.2402198435e+02,2.2492018529e+02,2.2427293270e+02,2.2468575193e+02,9.0240021904e-01,6.3502095016e-01
5,2,4,2.2427293270e+02,2.2468575193e+02,2.2402174722e+02,2.2491973614e+02,6.3502095016e-01,9.0249691135e-01
4,0,0,2.2402174722e+02,2.2491973614e+02,2.2367315501e+02,2.2513254715e+02,9.0249691135e-01,2.1112981701e+00
0,1,2,2.2367315501e+02,2.2513254715e+02,2.2417986607e+02,2.2486738729e+02,2.1112981701e+00,1.3736362511e+00
2,1,0,2.2417986607e+02,2.2486738729e+02,2.2367336825e+02,2.2513120898e+02,1.3736362511e+00,2.1112401567e+00
0,1,2,2.2367336825e+02,2.2513120898e+02,2.2418006392e+02,2.2486601972e+02,2.1112401567e+00,1.3735782377e+00
2,1,0,2.2418006392e+02,2.2486601972e+02,2.2367358140e+02,2.2512987079e+02,1.3735782377e+00,2.1111821434e+00
0,2,1,2.2367358140e+02,2.2512987079e+02,2.2398800037e+02,2.2497389943e+02,2.1111821434e+00,1.8313270938e+00
1,2,0,2.2398800037e+02,2.2497389943e+02,2.2367280939e+02,2.2512978073e+02,1.8313270938e+00,2.1113332655e+00
