Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
2,0,6,2.2500000000e+02,2.2500000000e+02,2.2476113525e+02,2.2464736168e+02,0.0000000000e+00,-1.2297378308e+00
6,1,4,2.2476113525e+02,2.2464736168e+02,2.2524119155e+02,2.2504691044e+02,-1.2297378308e+00,-4.8895119825e-01
4,0,0,2.2524119155e+02,2.2504691044e+02,2.2538840434e+02,2.2542787428e+02,-4.8895119825e-01,7.1985006045e-01
0,1,2,2.2538840434e+02,2.2542787428e+02,2.2521788891e+02,2.2488198937e+02,7.1985006045e-01,-1.7811858530e-02
2,1,0,2.2521788891e+02,2.2488198937e+02,2.2538712567e+02,2.2542742575e+02,-1.7811858530e-02,7.1979204711e-01
0,2,1,2.2538712567e+02,2.2542742575e+02,2.2528976428e+02,2.2509022090e+02,7.1979204711e-01,4.3993699755e-01
1,0,5,2.2528976428e+02,2.2509022090e+02,2.2520775433e+02,2.2467188968e+02,4.3993699755e-01,-7.8994936175e-01
5,2,4,2.2520775433e+02,2.2467188968e+02,2.2540275539e+02,2.2495440931e+02,-7.8994936175e-01,-5.2247340056e-01
4,0,0,2.2540275539e+02,2.2495440931e+02,2.2556265383e+02,2.2533022514e+02,-5.2247340056e-01,6.8632785814e-01
0,0,4,2.2556265383e+02,2.2533022514e+02,2.2540263444e+02,2.2495367209e+02,6.8632785814e-01,-5.2243388026e-01
4,0,0,2.2540263444e+02,2.2495367209e+02,2.2556251803e+02,2.2532949424e+02,-5.2243388026e-01,6.8636737844e-01
0,2,1,2.2556251803e+02,2.2532949424e+02,2.2545394216e+02,2.2499573140e+02,6.8636737844e-01,4.0651232888e-01
1,1,3,2.2545394216e+02,2.2499573140e+02,2.2548743273e+02,2.2437254283e+02,4.0651232888e-01,-3.3412089396e-01
3,2,2,2.2548743273e+02,2.2437254283e+02,2.2557284525e+02,2.2470522415e+02,-3.3412089396e-01,-6.6722460210e-02
2,2,3,2.2557284525e+02,2.2470522415e+02,2.2548706493e+02,2.2437282446e+02,-6.6722460210e-02,-3.3412666532e-01
3,0,7,2.2548706493e+02,2.2437282446e+02,2.2530756305e+02,2.2400588434e+02,-3.3412666532e-01,-1.5428669861e+00
7,1,5,2.2530756305e+02,2.2400588434e+02,2.2559206817e+02,2.2450165038e+02,-1.5428669861e+00,-8.0528735792e-01
5,1,7,2.2559206817e+02,2.2450165038e+02,2.2530742631e+02,2.2400670220e+02,-8.0528735792e-01,-1.5430200399e+00
7,1,5,2.2530742631e+02,2.2400670220e+02,2.2559200730e+02,2.2450242468e+02,-1.5430200399e+00,-8.0544041172e-01
5,1,7,2.2559200730e+02,2.2450242468e+02,2.2530728969e+02,2.2400752008e+02,-8.0544041172e-01,-1.5431730937e+00
7,0,3,2.2530728969e+02,2.2400752008e+02,2.2548708758e+02,2.2437463484e+02,-1.5431730937e+00,-3.3434475172e-01
3,1,1,2.2548708758e+02,2.2437463484e+02,2.2545338651e+02,2.2499775700e+02,-3.3434475172e-01,4.0637497655e-01
1,0,5,2.2545338651e+02,2.2499775700e+02,2.2535738534e+02,2.2458241327e+02,4.0637497655e-01,-8.2351138275e-01
5,0,1,2.2535738534e+02,2.2458241327e+02,2.2545341860e+02,2.2499696808e+02,-8.2351138275e-01,4.0627215505e-01
1,1,3,2.2545341860e+02,2.2499696808e+02,2.2548675950e+02,2.2437377148e+02,4.0627215505e-01,-3.3436106779e-01
3,2,2,2.2548675950e+02,2.2437377148e+02,2.2557225192e+02,2.2470643227e+02,-3.3436106779e-01,-6.6962634040e-02
2,0,6,2.2557225192e+02,2.2470643227e+02,2.2531032655e+02,2.2437056734e+02,-6.6962634040e-02,-1.2967004648e+00
6,2,7,2.2531032655e+02,2.2437056734e+02,2.2511841405e+02,2.2407625125e+02,-1.2967004648e+00,-1.5765824878e+00
7,0,3,2.2511841405e+02,2.2407625125e+02,2.2531037440e+02,2.2443715532e+02,-1.5765824878e+00,-3.6775414579e-01
3,1,1,2.2531037440e+02,2.2443715532e+02,2.2529750640e+02,2.2506105548e+02,-3.6775414579e-01,3.7296558248e-01
1,1,3,2.2529750640e+02,2.2506105548e+02,2.2531007611e+02,2.2443709426e+02,3.7296558248e-01,-3.6766764036e-01
3,2,2,2.2531007611e+02,2.2443709426e+02,2.2540659885e+02,2.2476672362e+02,-3.6766764036e-01,-1.0026920661e-01
2,0,6,2.2540659885e+02,2.2476672362e+02,2.2513363431e+02,2.2443976718e+02,-1.0026920661e-01,-1.3300070374e+00
6,1,4,2.2513363431e+02,2.2443976718e+02,2.2565127475e+02,2.2478925486e+02,-1.3300070374e+00,-5.8922040486e-01
4,1,6,2.2565127475e+02,2.2478925486e+02,2.2513367391e+02,2.2444039424e+02,-5.8922040486e-01,-1.3300628084e+00
6,1,4,2.2513367391e+02,2.2444039424e+02,2.2565133385e+02,2.2478985304e+02,-1.3300628084e+00,-5.8927617581e-01
4,0,0,2.2565133385e+02,2.2478985304e+02,2.2583596251e+02,2.2515415691e+02,-5.8927617581e-01,6.1952508289e-01
0,2,1,2.2583596251e+02,2.2515415691e+02,2.2570533624e+02,2.2482839146e+02,6.1952508289e-01,3.3967003333e-01
1,0,5,2.2570533624e+02,2.2482839146e+02,2.2558186362e+02,2.2442037044e+02,3.3967003333e-01,-8.9021632597e-01
5,2,4,2.2558186362e+02,2.2442037044e+02,2.2580416523e+02,2.2468195169e+02,-8.9021632597e-01,-6.2274036478e-01
4,2,5,2.2580416523e+02,2.2468195169e+02,2.2558142942e+02,2.2442056533e+02,-6.2274036478e-01,-8.9011963366e-01
5,0,1,2.2558142942e+02,2.2442056533e+02,2.2570484208e+02,2.2482780897e+02,-8.9011963366e-01,3.3966390414e-01
1,2,0,2.2570484208e+02,2.2482780897e+02,2.2583531954e+02,2.2515433610e+02,3.3966390414e-01,6.1967007587e-01
